
                                Name                                           Version             Type   
  com.ibm.ws.webcontainer.security.admin                            1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.webcontainer.security.feature                          1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.webcontainer.servlet.3.1.jakarta                       1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.webcontainer.servlet.4.0.jakarta                       1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.webserver.plugin.runtime.interfaces                    1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.webserver.plugin.runtime.jakarta                       1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.webserver.plugin.utility                               1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.webserver.plugin.utility.webserverPluginutil           1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.wsbytebuffer                                           1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.wsoc.2.1.jakarta                                       1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.wsoc.cdi.weld.jakarta                                  1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.wsoc.jakarta                                           1.0.88.cl240420240408-2000     maven  
  com.ibm.wsspi.org.osgi.core                                       1.2.88.cl240420240408-2000     maven  
  com.ibm.wsspi.org.osgi.namespace.service                          1.0.88.cl240420240408-2000     maven  
  com.ibm.wsspi.org.osgi.service.cm                                 1.1.88.cl240420240408-2000     maven  
  com.ibm.wsspi.org.osgi.service.component                          1.1.88.cl240420240408-2000     maven  
  com.ibm.wsspi.org.osgi.service.component.annotations              1.0.88.cl240420240408-2000     maven  
  com.ibm.wsspi.org.osgi.service.coordinator                        1.0.88.cl240420240408-2000     maven  
  com.ibm.wsspi.org.osgi.service.event                              1.0.88.cl240420240408-2000     maven  
  com.ibm.wsspi.org.osgi.service.log                                1.2.88.cl240420240408-2000     maven  
  com.ibm.wsspi.org.osgi.service.metatype                           1.1.88.cl240420240408-2000     maven  
  com.ibm.wsspi.org.osgi.service.metatype.annotations               1.0.88.cl240420240408-2000     maven  
  com.ibm.wsspi.thirdparty.equinox                                  1.3.88.cl240420240408-2000     maven  
  converter-gson                                                    2.9.0                          maven  
  coreutils                                                         8.32-35.el9                    rpm    
  coreutils-single                                                  8.32-35.el9                    rpm    
  crit                                                              3.18                           pypi   
  crypto-policies                                                   20240202-1.git283706d.el9      rpm    
  curl                                                              7.76.1-29.el9_4                rpm    
  curl-minimal                                                      7.76.1-29.el9_4                rpm    
  cyrus-sasl                                                        2.1.27-21.el9                  rpm    
  cyrus-sasl-lib                                                    2.1.27-21.el9                  rpm    
  dejavu-fonts                                                      2.37-18.el9                    rpm    
  dejavu-sans-fonts                                                 2.37-18.el9                    rpm    
  dnf                                                               4.14.0-9.el9                   rpm    
  dnf-data                                                          4.14.0-9.el9                   rpm    
  e2fsprogs                                                         1.46.5-5.el9                   rpm    
  file                                                              5.39-16.el9                    rpm    
  file-libs                                                         5.39-16.el9                    rpm    
  filesystem                                                        3.16-2.el9                     rpm    
  findutils                                                         1:4.8.0-6.el9                  rpm    
  fontconfig                                                        2.14.0-2.el9_1                 rpm    
  fonts-filesystem                                                  1:2.0.5-7.el9.1                rpm    
  fonts-rpm-macros                                                  1:2.0.5-7.el9.1                rpm    
  freetype                                                          2.10.4-9.el9                   rpm    
  gawk                                                              5.1.0-6.el9                    rpm    
  gcc                                                               11.4.1-3.el9                   rpm    
  gdbm                                                              1:1.19-4.el9                   rpm    
  gdbm-libs                                                         1:1.19-4.el9                   rpm    
  glib2                                                             2.68.4-14.el9                  rpm    
  glibc                                                             2.34-100.el9                   rpm    
  glibc-common                                                      2.34-100.el9                   rpm    
  glibc-langpack-en                                                 2.34-100.el9                   rpm    
  glibc-minimal-langpack                                            2.34-100.el9                   rpm    
  gmp                                                               1:6.2.0-13.el9                 rpm    
  gnupg2                                                            2.3.3-4.el9                    rpm    
  gnutls                                                            3.8.3-4.el9_4                  rpm    
  gobject-introspection                                             1.68.0-11.el9                  rpm    
  gpg-pubkey                                                        5a6340b3-6229229e              rpm    
  gpg-pubkey                                                        fd431d51-4ae0493b              rpm    
  gpgme                                                             1.15.1-6.el9                   rpm    
  graphite2                                                         1.3.14-9.el9                   rpm    
  grep                                                              3.6-5.el9                      rpm    
  gson                                                              2.10.1                         maven  
  gzip                                                              1.12-1.el9                     rpm    
  harfbuzz                                                          2.7.4-10.el9                   rpm    
